date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:39	31272/31272	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.eot	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.eot	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:40	31272/31272	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.eot?	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400d41d.eot	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:40	12188/12188	---M--	200	added ('OK')	font/woff2	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.woff2	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.woff2	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:40	14724/14724	---M--	200	added ('OK')	font/woff	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.woff	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.woff	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:41	31044/31044	---M--	200	added ('OK')	font/ttf	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.ttf	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.ttf	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:42	599834/599834	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-brands-400.svg	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:43	104706/104706	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-regular-400.svg	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:43	133140/133140	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.eot	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.eot	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:44	50372/50372	---M--	200	added ('OK')	font/woff2	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.woff2	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.woff2	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:44	133140/133140	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.eot?	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900d41d.eot	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:44	63836/63836	---M--	200	added ('OK')	font/woff	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.woff	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.woff	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:45	132920/132920	---M--	200	added ('OK')	font/ttf	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.ttf	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.ttf	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:46	34353/34353	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.eot	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.eot	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:46	488395/488395	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Nov%202018%2004:34:26%20GMT	https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/webfonts/fa-solid-900.svg	(from https://sso.unej.ac.id/cas/webjars/font-awesome/5.0.13/web-fonts-with-css/css/fontawesome-all.min.css)
08:31:46	34353/34353	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.eot?	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-blackd41d.eot	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:46	29788/29788	---M--	200	added ('OK')	font/woff2	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.woff2	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.woff2	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:47	37444/37444	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.woff	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.woff	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:47	75284/75284	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.ttf	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.ttf	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:48	36338/36338	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.eot	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.eot	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:48	194400/194400	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-black/lato-black.svg	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:48	36338/36338	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.eot?	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalicd41d.eot	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:49	31928/31928	---M--	200	added ('OK')	font/woff2	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.woff2	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.woff2	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:49	39644/39644	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.woff	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.woff	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:50	87064/87064	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.ttf	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.ttf	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:50	197248/197248	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.svg	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-blackitalic/lato-blackitalic.svg	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
08:31:50	35221/35221	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2002:52:18%20GMT	https://sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-heavy/lato-heavy.eot	D:/SKRIPSI/UI/Login%20SSO/Login%20SSO/sso.unej.ac.id/cas/webjars/lato/0.3.0/font/lato-heavy/lato-heavy.eot	(from https://sso.unej.ac.id/cas/webjars/lato/0.3.0/css/lato.min.css)
